Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.805680430825315,-1.58675591734862,0.0231037334397369,0,0,0,0.289654091949094,9.96156121590874E-05,3.976669537951E-07,-4.15029311622579E-05,0.00106919840227956,-1.02308218399883E-07,0.00108726677110564,0,0,0,0,0,0,package://Main_Assembly_1/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Main_Assembly_1/meshes/base_link.STL,,Motor_Housing-1;Motor_Housing_Cap_2-2;Motor_Housing_Cap_2-1;17HM15-0904S-2;17HM15-0904S-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
motor_link_left,-1.54418700049064E-11,-0.00932326969848195,0.0914648714367623,0,0,0,0.109977791624673,0.000442481482174547,-4.02742866518647E-19,3.27185802124805E-16,0.000450168746268331,5.28508912400669E-07,1.19498579218419E-05,0,0,0,0,0,0,package://Main_Assembly_1/meshes/motor_link_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Main_Assembly_1/meshes/motor_link_left.STL,,Motor_Arm_D1-2;6656K83_Ultra-Thin Ball Bearing-4,Origin_motor_joint_left,Axis_motor_joint_left,motor_joint_left,continuous,0.695406926143987,-1.58664693818658,0.0500000000000009,-1.5707963267949,0,0.00292493868428481,base_link,0,1,0,,,,,,,,,,,,
link_left,0.0129128347369171,0.00501399199042649,5.02557846449037E-08,0,0,0,0.0600036589888041,6.19740935034774E-06,-5.52487837124007E-07,5.04061862338461E-13,0.000187765814649012,3.50499586236939E-11,0.000183124893454539,0,0,0,0,0,0,package://Main_Assembly_1/meshes/link_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Main_Assembly_1/meshes/link_left.STL,,Arm_D3-1;Barrel-2,Origin_joint_link_left,Axis_joint_link_left,joint_link_left,fixed,0.0473654017036974,-0.0229999999999991,0.288071100367414,0,1.07736121547448,3.14159265358979,motor_link_left,0,0,0,,,,,,,,,,,,
motor_Link_right,-6.95365987013474E-12,-0.00932326969848239,0.0914648714413329,0,0,0,0.109977791624673,0.000442481482174547,2.56715668541955E-18,-2.0877633011466E-15,0.000450168746268331,5.28508912401265E-07,1.19498579218419E-05,0,0,0,0,0,0,package://Main_Assembly_1/meshes/motor_Link_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Main_Assembly_1/meshes/motor_Link_right.STL,,Motor_Arm_D1-1;6656K83_Ultra-Thin Ball Bearing-2,Origin_motor_joint_right,Axis_motor_joint_right,motor_joint_right,continuous,0.885406926135972,-1.58664693819113,0.0699999999999998,-1.5707963267949,0,0.0108765596422485,base_link,0,1,0,,,,,,,,,,,,
right_link,-0.104422420431331,-0.0220002123421804,-2.58060937122773E-05,0,0,0,0.104519628648809,1.36957339503706E-05,7.35058317793691E-06,-2.51188281300221E-07,0.00044176848046302,8.76936198134352E-09,0.00043430166486248,0,0,0,0,0,0,package://Main_Assembly_1/meshes/right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Main_Assembly_1/meshes/right_link.STL,,Arm_D2-1;Barrel-1,Origin_right_joint_link,Axis_right_joint_link,right_joint_link,continuous,0,-0.00309999999999989,0.199999999999012,0,1.09202325866201,0,motor_Link_right,0,1,0,,,,,,,,,,,,
suction_link,0.00679369117041895,-0.0145482097169509,-0.00128696369024124,0,0,0,0.0268082361958619,9.08742062637334E-06,1.51467396083754E-06,3.57537417105619E-07,1.05274776989344E-05,-1.94532483977893E-07,8.56493108956381E-06,0,0,0,0,0,0,package://Main_Assembly_1/meshes/suction_link.STL,0,0,1,1,0,0,0,0,0,0,package://Main_Assembly_1/meshes/suction_link.STL,,Channel^Vacume-1,Origin_suction_joint_link2,Axis_suction_joint_link,suction_joint_link,fixed,-0.20999988943129,-0.0469999999999999,-0.000148706565137574,-1.5707963267949,1.57079630572147,0,right_link,0,0,0,,,,,,,,,,,,
channel_suction_link,1.25259489234253E-05,0.0552329246642761,0.000202367284022342,0,0,0,0.0202889537859732,1.69635199921382E-05,-3.25516378496012E-10,-2.01772623475081E-09,1.33291142987697E-06,-5.26032721975948E-09,1.74341612018434E-05,0,0,0,0,0,0,package://Main_Assembly_1/meshes/channel_suction_link.STL,1,0.752941176470588,1,1,0,0,0,0,0,0,package://Main_Assembly_1/meshes/channel_suction_link.STL,,Channel-1,Origin_suction_channel2,Axis_suction_channel2,suction_channel,fixed,-0.000149999999999983,-0.0098999999999998,0.05,-1.5707963267949,0,3.14159265358979,suction_link,0,0,0,,,,,,,,,,,,
gear_suction,0.000446088333350581,-2.22044604925031E-16,1.11022302462516E-16,0,0,0,0.00121150346406919,6.08045347881051E-08,3.97046694025453E-23,-3.80503081774393E-23,3.27628945863109E-08,-7.36190745172195E-23,3.27628945863109E-08,0,0,0,0,0,0,package://Main_Assembly_1/meshes/gear_suction.STL,1,0.949019607843137,0.909803921568627,1,0,0,0,0,0,0,package://Main_Assembly_1/meshes/gear_suction.STL,,hyg6-1,Origin_gear_servo_suction_joint2,Axis_gear_servo_suction_joint2,gear_servo_suction_joint,continuous,0,-0.0289499999999996,-0.0131,0.402010990334476,0,3.14159265358979,suction_link,1,0,0,,,,,,,,,,,,
