Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.083168982239769,0.0475041002838896,0.101771798173962,0,0,0,0.965408329881284,0.00121438201472187,-0.000126878243464914,-1.48870080286014E-05,0.00400274535536562,-2.18806706584243E-05,0.00309937571143598,0,0,0,0,0,0,package://Main_Assembly_V3_URDF/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Main_Assembly_V3_URDF/meshes/base_link.STL,,Motor_Housing V3-1;front tray holder-1;tray holder-1;Tray_V2-1;front tray holder extention-1;Tray_V2-2;Nema 17 Closed loop v5-2/Nema 17 Closed loop v5.step-1/Motor.step-1;Nema 17 Closed loop v5-1/Nema 17 Closed loop v5.step-1/Motor.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,-1.5543E-14,-0.0084274,0.090145,0,0,0,0.10866,0.00044201,1.0376E-20,2.0752E-19,0.00044965,5.1074E-07,1.1894E-05,0,0,0,0,0,0,package://Main_Assembly_V3_URDF/meshes/Link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Main_Assembly_V3_URDF/meshes/Link_1.STL,,Motor_Arm_D1-2,Origin_Joint_1,Axis_Joint_1,Joint_1,revolute,0.22303,-0.17462,0.12681,-1.5853,-0.016051,-0.40717,base_link,0,1,0,0,0,0,0,,,,,,,,
Link_3,-0.102619519713433,-0.0275712043613897,-2.58860029782593E-05,0,0,0,0.107515397534699,1.44996387378322E-05,2.84941765913835E-06,-2.76042428413505E-07,0.000519519337303352,8.02582452169293E-09,0.000512464324053293,0,0,0,0,0,0,package://Main_Assembly_V3_URDF/meshes/Link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Main_Assembly_V3_URDF/meshes/Link_3.STL,,Arm_D2-1,Origin_Joint_3,Axis_Joint_3,Joint_3,revolute,0,0,0.2,0,0.15538,0,Link_1,0,1,0,0,0,0,0,,,,,,,,
Endeffector,-1.1296519275561E-14,0.0148142908485712,-2.94347879403745E-14,0,0,0,0.0288633825048563,4.37460641089228E-06,-1.65436122510606E-22,-4.2351647362715E-22,4.41970544605611E-06,-3.70576914423756E-22,4.37460641089228E-06,0,0,0,0,0,0,package://Main_Assembly_V3_URDF/meshes/Endeffector.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Main_Assembly_V3_URDF/meshes/Endeffector.STL,,Grabber Place Holder-1,Origin_Joint_5,Axis_Joint_5,Joint_5,revolute,-0.2,-0.0063467,-0.00014871,-3.1416,-1.5579,0,Link_3,0,1,0,0,0,0,0,,,,,,,,
Link_2,-4.29933866286092E-14,-0.00900607153307129,0.0901453102630915,0,0,0,0.108656751757487,0.000442013586531157,1.48230765769503E-21,-4.63327022148102E-19,0.000449653935541168,5.10742428231393E-07,1.18942776182149E-05,0,0,0,0,0,0,package://Main_Assembly_V3_URDF/meshes/Link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Main_Assembly_V3_URDF/meshes/Link_2.STL,,Motor_Arm_D1-1,Origin_Joint_2,Axis_Joint_2,Joint_2,revolute,0.033931,-0.17377,0.1045,-1.5924,-0.0012905,0.37069,base_link,0,1,0,0,0,0,0,,,,,,,,
Link_4,-0.088120146906434,0.0250425874491038,-2.99066327258402E-15,0,0,0,0.0932618314359105,1.12888480832201E-05,2.71074632346948E-06,1.33407689192552E-19,0.000366978882286225,1.52465930505774E-20,0.000360667554634805,0,0,0,0,0,0,package://Main_Assembly_V3_URDF/meshes/Link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Main_Assembly_V3_URDF/meshes/Link_4.STL,,Arm_D3-1,Origin_Joint_4,Axis_Joint_4,Joint_4,revolute,0,-0.0036364,0.2,0,0.16756,-3.1416,Link_2,0,1,0,0,0,0,0,,,,,,,,
